time_s,current_uA,applied_V,force_V,force_mN
42.2,6250.0,0.8,7.646,428.176
42.3,6250.0,0.8,7.642,427.952
42.4,6250.0,0.8,7.642,427.952
42.5,6250.0,0.8,7.642,427.952
42.6,6250.0,0.8,7.642,427.952
42.7,6250.0,0.8,7.642,427.952
42.8,6250.0,0.8,7.646,428.176
42.9,6250.0,0.8,7.646,428.176
43.0,6250.0,0.8,7.646,428.176
43.1,6250.0,0.8,7.646,428.176
43.2,6250.0,0.8,7.646,428.176
43.3,6250.0,0.8,7.6455,428.148
43.4,6250.0,0.8,7.6455,428.148
43.5,6250.0,0.8,7.6455,428.148
43.6,6250.0,0.8,7.6455,428.148
43.7,6250.0,0.8,7.6455,428.148
43.8,6250.0,0.8,7.645,428.12
43.9,6250.0,0.8,7.645,428.12
44.0,6250.0,0.8,7.645,428.12
44.1,6250.0,0.8,7.645,428.12
44.2,6250.0,0.8,7.645,428.12
44.3,6250.0,0.8,7.646,428.176
44.4,6250.0,0.8,7.646,428.176
44.5,6250.0,0.8,7.646,428.176
44.6,6250.0,0.8,7.646,428.176
44.7,6250.0,0.8,7.646,428.176
44.8,6250.0,0.8,7.646,428.176
44.9,6250.0,0.8,7.646,428.176
45.0,6250.0,0.8,7.646,428.176
45.1,6250.0,0.8,7.646,428.176
45.2,6250.0,0.8,7.646,428.176
45.3,6250.0,0.8,7.643,428.008
45.4,6250.0,0.8,7.643,428.008
45.5,6250.0,0.8,7.643,428.008
45.6,6250.0,0.8,7.643,428.008
45.7,6250.0,0.8,7.643,428.008
45.8,6250.0,0.8,7.644,428.064
45.9,6250.0,0.8,7.644,428.064
46.0,6250.0,0.8,7.644,428.064
46.1,6250.0,0.8,7.644,428.064
46.2,6250.0,0.8,7.644,428.064
46.3,6250.0,0.8,7.644,428.064
46.4,6250.0,0.8,7.644,428.064
46.5,6250.0,0.8,7.644,428.064
46.6,6250.0,0.8,7.644,428.064
46.7,6250.0,0.8,7.644,428.064
46.8,6250.0,0.8,7.644,428.064
46.9,6250.0,0.8,7.644,428.064
