time_s,force_V,confident,digits
178.5,3.18,True,"[0, 3, 1, 8, 0]"
179.0,3.18,True,"[0, 3, 1, 8, 0]"
179.5,3.18,True,"[0, 3, 1, 8, 0]"
180.0,3.18,True,"[0, 3, 1, 8, 0]"
180.5,3.18,True,"[0, 3, 1, 8, 0]"
181.0,3.18,True,"[0, 3, 1, 8, 0]"
181.5,3.18,True,"[0, 3, 1, 8, 0]"
182.0,3.18,True,"[0, 3, 1, 8, 0]"
182.5,3.18,True,"[0, 3, 1, 8, 0]"
183.0,3.18,True,"[0, 3, 1, 8, 0]"
183.5,3.18,True,"[0, 3, 1, 8, 0]"
184.0,3.18,True,"[0, 3, 1, 8, 0]"
184.5,3.18,True,"[0, 3, 1, 8, 0]"
185.0,3.18,True,"[0, 3, 1, 8, 0]"
185.5,3.18,True,"[0, 3, 1, 8, 0]"
186.0,3.18,True,"[0, 3, 1, 8, 0]"
186.5,3.18,True,"[0, 3, 1, 8, 0]"
187.0,3.18,True,"[0, 3, 1, 8, 0]"
187.5,3.18,True,"[0, 3, 1, 8, 0]"
188.0,3.18,True,"[0, 3, 1, 8, 0]"
188.5,3.18,True,"[0, 3, 1, 8, 0]"
189.0,3.18,True,"[0, 3, 1, 8, 0]"
189.5,3.18,True,"[0, 3, 1, 8, 0]"
190.0,3.18,True,"[0, 3, 1, 8, 0]"
190.5,3.18,True,"[0, 3, 1, 8, 0]"
191.0,3.18,True,"[0, 3, 1, 8, 0]"
191.5,3.18,True,"[0, 3, 1, 8, 0]"
192.0,3.18,True,"[0, 3, 1, 8, 0]"
192.5,3.18,True,"[0, 3, 1, 8, 0]"
193.0,3.18,True,"[0, 3, 1, 8, 0]"
193.5,3.18,True,"[0, 3, 1, 8, 0]"
194.0,3.18,True,"[0, 3, 1, 8, 0]"
194.5,3.18,True,"[0, 3, 1, 8, 0]"
195.0,3.18,True,"[0, 3, 1, 8, 0]"
195.5,3.18,True,"[0, 3, 1, 8, 0]"
196.0,3.18,True,"[0, 3, 1, 8, 0]"
196.5,3.18,True,"[0, 3, 1, 8, 0]"
197.0,3.18,True,"[0, 3, 1, 8, 0]"
197.5,3.18,True,"[0, 3, 1, 8, 0]"
198.0,3.18,True,"[0, 3, 1, 8, 0]"
198.5,3.18,True,"[0, 3, 1, 8, 0]"
199.0,3.18,True,"[0, 3, 1, 8, 0]"
199.5,3.18,True,"[0, 3, 1, 8, 0]"
