time_s,current_uA,applied_V,force_V_raw,force_V,force_mN,stress_MPa
14.8,5877.76,0.8,11.816,2.3634,134.59563,0.17733284584980236
14.9,5881.57,0.8,11.816,2.3634,134.59563,0.17733284584980236
15.0,5883.0,0.8,11.816,2.3634,134.59563,0.17733284584980236
15.1,5882.53,0.8,11.816,2.3634,134.59563,0.17733284584980236
15.2,5883.48,0.8,11.816,2.3634,134.59563,0.17733284584980236
15.3,5886.82,0.8,11.817,2.3632,134.58424,0.17731783926218708
15.4,5887.77,0.8,11.817,2.3632,134.58424,0.17731783926218708
15.5,5892.06,0.8,11.817,2.3632,134.58424,0.17731783926218708
15.6,5892.54,0.8,11.817,2.3632,134.58424,0.17731783926218708
15.7,5893.02,0.8,11.817,2.3632,134.58424,0.17731783926218708
15.8,5898.26,0.8,11.818,2.3632,134.58424,0.17731783926218708
15.9,5898.74,0.8,11.818,2.3632,134.58424,0.17731783926218708
16.0,5899.21,0.8,11.818,2.3632,134.58424,0.17731783926218708
16.1,5899.33,0.8,11.818,2.3632,134.58424,0.17731783926218708
16.2,5899.69,0.8,11.818,2.3632,134.58424,0.17731783926218708
16.3,5899.69,0.8,11.817,2.3632,134.58424,0.17731783926218708
16.4,5901.6,0.8,11.817,2.3632,134.58424,0.17731783926218708
16.5,5903.51,0.8,11.817,2.3632,134.58424,0.17731783926218708
16.6,5907.32,0.8,11.817,2.3632,134.58424,0.17731783926218708
16.7,5911.61,0.8,11.817,2.3632,134.58424,0.17731783926218708
16.8,5914.47,0.8,11.817,2.3632,134.58424,0.17731783926218708
16.9,5919.24,0.8,11.817,2.3632,134.58424,0.17731783926218708
17.0,5923.06,0.8,11.817,2.3632,134.58424,0.17731783926218708
17.1,5923.06,0.8,11.817,2.3632,134.58424,0.17731783926218708
17.2,5924.13,0.8,11.817,2.3632,134.58424,0.17731783926218708
17.3,5925.44,0.8,11.812,2.3632,134.58424,0.17731783926218708
17.4,5924.96,0.8,11.812,2.3632,134.58424,0.17731783926218708
17.5,5926.39,0.8,11.812,2.3632,134.58424,0.17731783926218708
17.6,5929.26,0.8,11.812,2.3632,134.58424,0.17731783926218708
17.7,5926.87,0.8,11.812,2.3632,134.58424,0.17731783926218708
17.8,5928.78,0.8,11.815,2.3632,134.58424,0.17731783926218708
17.9,5927.35,0.8,11.815,2.3632,134.58424,0.17731783926218708
18.0,5928.78,0.8,11.815,2.3632,134.58424,0.17731783926218708
18.1,5926.39,0.8,11.815,2.3632,134.58424,0.17731783926218708
18.2,5929.73,0.8,11.815,2.3632,134.58424,0.17731783926218708
18.3,5931.64,0.8,11.815,2.3632,134.58424,0.17731783926218708
18.4,5935.93,0.8,11.815,2.3632,134.58424,0.17731783926218708
18.5,5939.75,0.8,11.815,2.3632,134.58424,0.17731783926218708
18.6,5940.7,0.8,11.815,2.3632,134.58424,0.17731783926218708
18.7,5943.08,0.8,11.815,2.3632,134.58424,0.17731783926218708
18.8,5945.94,0.8,11.814,2.3632,134.58424,0.17731783926218708
18.9,5944.51,0.8,11.814,2.3632,134.58424,0.17731783926218708
19.0,5946.9,0.8,11.814,2.3632,134.58424,0.17731783926218708
19.1,5944.51,0.8,11.814,2.3632,134.58424,0.17731783926218708
19.2,5949.76,0.8,11.814,2.3632,134.58424,0.17731783926218708
19.3,5946.9,0.8,11.818,2.3632,134.58424,0.17731783926218708
19.4,5946.42,0.8,11.818,2.3632,134.58424,0.17731783926218708
19.5,5949.76,0.8,11.818,2.3632,134.58424,0.17731783926218708
19.6,5952.14,0.8,11.818,2.3632,134.58424,0.17731783926218708
19.7,5952.62,0.8,11.818,2.3632,134.58424,0.17731783926218708
19.8,5952.62,0.8,11.817,2.3632,134.58424,0.17731783926218708
19.9,5953.57,0.8,11.817,2.3632,134.58424,0.17731783926218708
20.0,5957.87,0.8,11.817,2.3632,134.58424,0.17731783926218708
20.1,5958.34,0.8,11.817,2.3632,134.58424,0.17731783926218708
20.2,5955.96,0.8,11.817,2.3632,134.58424,0.17731783926218708
20.3,5956.91,0.8,11.816,2.3632,134.58424,0.17731783926218708
20.4,5958.82,0.8,11.816,2.3632,134.58424,0.17731783926218708
20.5,5957.87,0.8,11.816,2.3632,134.58424,0.17731783926218708
20.6,5958.22,0.8,11.816,2.3632,134.58424,0.17731783926218708
