time_s,force_V,confident,digits
105.0,7.626,True,"[0, 7, 6, 2, 6]"
105.5,7.626,True,"[0, 7, 6, 2, 6]"
106.0,7.626,True,"[0, 7, 6, 2, 6]"
106.5,7.626,True,"[0, 7, 6, 2, 6]"
107.0,7.726,True,"[0, 7, 7, 2, 6]"
107.5,7.625,True,"[0, 7, 6, 2, 5]"
108.0,7.626,True,"[0, 7, 6, 2, 6]"
108.5,7.775,True,"[0, 7, 7, 7, 5]"
109.0,7.725,True,"[0, 7, 7, 2, 5]"
109.5,7.626,True,"[0, 7, 6, 2, 6]"
110.0,7.623,True,"[0, 7, 6, 2, 3]"
110.5,7.625,True,"[0, 7, 6, 2, 5]"
111.0,7.623,True,"[0, 7, 6, 2, 3]"
111.5,7.626,True,"[0, 7, 6, 2, 6]"
112.0,7.616,True,"[0, 7, 6, 1, 6]"
112.5,7.625,True,"[0, 7, 6, 2, 5]"
113.0,7.626,True,"[0, 7, 6, 2, 6]"
113.5,7.626,True,"[0, 7, 6, 2, 6]"
114.0,7.725,True,"[0, 7, 7, 2, 5]"
114.5,7.773,True,"[0, 7, 7, 7, 3]"
115.0,7.625,True,"[0, 7, 6, 2, 5]"
115.5,7.725,True,"[0, 7, 7, 2, 5]"
116.0,7.625,True,"[0, 7, 6, 2, 5]"
116.5,7.616,True,"[0, 7, 6, 1, 6]"
117.0,7.625,True,"[0, 7, 6, 2, 5]"
117.5,7.626,True,"[0, 7, 6, 2, 6]"
118.0,7.613,True,"[0, 7, 6, 1, 3]"
118.5,7.623,True,"[0, 7, 6, 2, 3]"
119.0,7.776,True,"[0, 7, 7, 7, 6]"
119.5,7.626,True,"[0, 7, 6, 2, 6]"
120.0,7.613,True,"[0, 7, 6, 1, 3]"
120.5,7.613,True,"[0, 7, 6, 1, 3]"
121.0,7.623,True,"[0, 7, 6, 2, 3]"
121.5,7.625,True,"[0, 7, 6, 2, 5]"
122.0,7.625,True,"[0, 7, 6, 2, 5]"
122.5,7.625,True,"[0, 7, 6, 2, 5]"
123.0,7.616,True,"[0, 7, 6, 1, 6]"
123.5,7.625,True,"[0, 7, 6, 2, 5]"
124.0,7.625,True,"[0, 7, 6, 2, 5]"
124.5,7.725,True,"[0, 7, 7, 2, 5]"
125.0,7.726,True,"[0, 7, 7, 2, 6]"
125.5,7.715,True,"[0, 7, 7, 1, 5]"
126.0,7.725,True,"[0, 7, 7, 2, 5]"
126.5,7.716,True,"[0, 7, 7, 1, 6]"
127.0,7.746,True,"[0, 7, 7, 4, 6]"
127.5,7.646,True,"[0, 7, 6, 4, 6]"
128.0,7.673,True,"[0, 7, 6, 7, 3]"
128.5,7.623,True,"[0, 7, 6, 2, 3]"
129.0,7.626,True,"[0, 7, 6, 2, 6]"
129.5,7.673,True,"[0, 7, 6, 7, 3]"
130.0,7.626,True,"[0, 7, 6, 2, 6]"
130.5,7.625,True,"[0, 7, 6, 2, 5]"
131.0,7.623,True,"[0, 7, 6, 2, 3]"
131.5,7.613,True,"[0, 7, 6, 1, 3]"
132.0,7.626,True,"[0, 7, 6, 2, 6]"
132.5,7.625,True,"[0, 7, 6, 2, 5]"
133.0,7.625,True,"[0, 7, 6, 2, 5]"
133.5,7.623,True,"[0, 7, 6, 2, 3]"
134.0,7.625,True,"[0, 7, 6, 2, 5]"
134.5,7.676,True,"[0, 7, 6, 7, 6]"
135.0,7.673,True,"[0, 7, 6, 7, 3]"
135.5,7.625,True,"[0, 7, 6, 2, 5]"
136.0,7.643,True,"[0, 7, 6, 4, 3]"
136.5,7.673,True,"[0, 7, 6, 7, 3]"
137.0,7.625,True,"[0, 7, 6, 2, 5]"
137.5,7.626,True,"[0, 7, 6, 2, 6]"
138.0,7.643,True,"[0, 7, 6, 4, 3]"
138.5,7.643,True,"[0, 7, 6, 4, 3]"
139.0,7.626,True,"[0, 7, 6, 2, 6]"
139.5,7.626,True,"[0, 7, 6, 2, 6]"
140.0,7.623,True,"[0, 7, 6, 2, 3]"
140.5,7.643,True,"[0, 7, 6, 4, 3]"
141.0,7.623,True,"[0, 7, 6, 2, 3]"
141.5,7.623,True,"[0, 7, 6, 2, 3]"
142.0,7.626,True,"[0, 7, 6, 2, 6]"
142.5,7.625,True,"[0, 7, 6, 2, 5]"
143.0,7.625,True,"[0, 7, 6, 2, 5]"
143.5,7.626,True,"[0, 7, 6, 2, 6]"
144.0,7.625,True,"[0, 7, 6, 2, 5]"
144.5,7.626,True,"[0, 7, 6, 2, 6]"
145.0,7.643,True,"[0, 7, 6, 4, 3]"
145.5,7.616,True,"[0, 7, 6, 1, 6]"
146.0,7.725,True,"[0, 7, 7, 2, 5]"
146.5,7.613,True,"[0, 7, 6, 1, 3]"
147.0,7.626,True,"[0, 7, 6, 2, 6]"
147.5,7.625,True,"[0, 7, 6, 2, 5]"
148.0,7.626,True,"[0, 7, 6, 2, 6]"
148.5,7.626,True,"[0, 7, 6, 2, 6]"
149.0,7.725,True,"[0, 7, 7, 2, 5]"
149.5,7.725,True,"[0, 7, 7, 2, 5]"
150.0,7.626,True,"[0, 7, 6, 2, 6]"
150.5,7.626,True,"[0, 7, 6, 2, 6]"
151.0,7.613,True,"[0, 7, 6, 1, 3]"
151.5,7.625,True,"[0, 7, 6, 2, 5]"
152.0,7.623,True,"[0, 7, 6, 2, 3]"
152.5,7.725,True,"[0, 7, 7, 2, 5]"
153.0,7.773,True,"[0, 7, 7, 7, 3]"
153.5,7.623,True,"[0, 7, 6, 2, 3]"
154.0,7.776,True,"[0, 7, 7, 7, 6]"
154.5,7.613,True,"[0, 7, 6, 1, 3]"
155.0,7.623,True,"[0, 7, 6, 2, 3]"
155.5,7.616,True,"[0, 7, 6, 1, 6]"
156.0,7.626,True,"[0, 7, 6, 2, 6]"
156.5,7.725,True,"[0, 7, 7, 2, 5]"
157.0,7.725,True,"[0, 7, 7, 2, 5]"
157.5,7.726,True,"[0, 7, 7, 2, 6]"
158.0,7.775,True,"[0, 7, 7, 7, 5]"
158.5,7.713,True,"[0, 7, 7, 1, 3]"
159.0,7.725,True,"[0, 7, 7, 2, 5]"
159.5,7.726,True,"[0, 7, 7, 2, 6]"
160.0,7.746,True,"[0, 7, 7, 4, 6]"
160.5,7.726,True,"[0, 7, 7, 2, 6]"
161.0,7.746,True,"[0, 7, 7, 4, 6]"
161.5,7.715,True,"[0, 7, 7, 1, 5]"
162.0,7.745,True,"[0, 7, 7, 4, 5]"
162.5,7.746,True,"[0, 7, 7, 4, 6]"
163.0,7.776,True,"[0, 7, 7, 7, 6]"
163.5,7.776,True,"[0, 7, 7, 7, 6]"
164.0,7.725,True,"[0, 7, 7, 2, 5]"
164.5,7.725,True,"[0, 7, 7, 2, 5]"
165.0,7.715,True,"[0, 7, 7, 1, 5]"
165.5,7.725,True,"[0, 7, 7, 2, 5]"
166.0,7.715,True,"[0, 7, 7, 1, 5]"
166.5,7.726,True,"[0, 7, 7, 2, 6]"
167.0,7.725,True,"[0, 7, 7, 2, 5]"
167.5,7.715,True,"[0, 7, 7, 1, 5]"
168.0,7.745,True,"[0, 7, 7, 4, 5]"
168.5,7.745,True,"[0, 7, 7, 4, 5]"
169.0,7.725,True,"[0, 7, 7, 2, 5]"
169.5,7.715,True,"[0, 7, 7, 1, 5]"
170.0,7.745,True,"[0, 7, 7, 4, 5]"
170.5,7.745,True,"[0, 7, 7, 4, 5]"
171.0,7.725,True,"[0, 7, 7, 2, 5]"
171.5,7.715,True,"[0, 7, 7, 1, 5]"
172.0,7.725,True,"[0, 7, 7, 2, 5]"
172.5,7.745,True,"[0, 7, 7, 4, 5]"
173.0,7.725,True,"[0, 7, 7, 2, 5]"
173.5,7.745,True,"[0, 7, 7, 4, 5]"
174.0,7.725,True,"[0, 7, 7, 2, 5]"
174.5,7.725,True,"[0, 7, 7, 2, 5]"
175.0,7.725,True,"[0, 7, 7, 2, 5]"
175.5,7.726,True,"[0, 7, 7, 2, 6]"
176.0,7.725,True,"[0, 7, 7, 2, 5]"
176.5,7.745,True,"[0, 7, 7, 4, 5]"
177.0,7.725,True,"[0, 7, 7, 2, 5]"
177.5,7.725,True,"[0, 7, 7, 2, 5]"
178.0,7.725,True,"[0, 7, 7, 2, 5]"
178.5,7.725,True,"[0, 7, 7, 2, 5]"
179.0,7.725,True,"[0, 7, 7, 2, 5]"
179.5,7.745,True,"[0, 7, 7, 4, 5]"
180.0,7.715,True,"[0, 7, 7, 1, 5]"
180.5,7.725,True,"[0, 7, 7, 2, 5]"
181.0,7.725,True,"[0, 7, 7, 2, 5]"
181.5,7.725,True,"[0, 7, 7, 2, 5]"
182.0,7.716,True,"[0, 7, 7, 1, 6]"
182.5,7.726,True,"[0, 7, 7, 2, 6]"
183.0,7.725,True,"[0, 7, 7, 2, 5]"
183.5,7.725,True,"[0, 7, 7, 2, 5]"
184.0,7.715,True,"[0, 7, 7, 1, 5]"
184.5,7.725,True,"[0, 7, 7, 2, 5]"
185.0,7.725,True,"[0, 7, 7, 2, 5]"
185.5,7.725,True,"[0, 7, 7, 2, 5]"
186.0,7.745,True,"[0, 7, 7, 4, 5]"
186.5,7.725,True,"[0, 7, 7, 2, 5]"
187.0,7.745,True,"[0, 7, 7, 4, 5]"
187.5,7.725,True,"[0, 7, 7, 2, 5]"
188.0,7.726,True,"[0, 7, 7, 2, 6]"
188.5,7.725,True,"[0, 7, 7, 2, 5]"
189.0,7.725,True,"[0, 7, 7, 2, 5]"
189.5,7.725,True,"[0, 7, 7, 2, 5]"
190.0,7.725,True,"[0, 7, 7, 2, 5]"
190.5,7.725,True,"[0, 7, 7, 2, 5]"
191.0,7.725,True,"[0, 7, 7, 2, 5]"
191.5,7.725,True,"[0, 7, 7, 2, 5]"
192.0,7.725,True,"[0, 7, 7, 2, 5]"
192.5,7.725,True,"[0, 7, 7, 2, 5]"
193.0,7.725,True,"[0, 7, 7, 2, 5]"
193.5,7.715,True,"[0, 7, 7, 1, 5]"
194.0,7.725,True,"[0, 7, 7, 2, 5]"
194.5,7.715,True,"[0, 7, 7, 1, 5]"
195.0,7.725,True,"[0, 7, 7, 2, 5]"
195.5,7.925,True,"[0, 7, 9, 2, 5]"
196.0,7.725,True,"[0, 7, 7, 2, 5]"
196.5,7.745,True,"[0, 7, 7, 4, 5]"
197.0,7.725,True,"[0, 7, 7, 2, 5]"
197.5,7.725,True,"[0, 7, 7, 2, 5]"
198.0,7.715,True,"[0, 7, 7, 1, 5]"
198.5,7.715,True,"[0, 7, 7, 1, 5]"
199.0,7.725,True,"[0, 7, 7, 2, 5]"
199.5,7.725,True,"[0, 7, 7, 2, 5]"
200.0,7.725,True,"[0, 7, 7, 2, 5]"
200.5,7.725,True,"[0, 7, 7, 2, 5]"
201.0,7.925,True,"[0, 7, 9, 2, 5]"
201.5,7.725,True,"[0, 7, 7, 2, 5]"
202.0,7.925,True,"[0, 7, 9, 2, 5]"
202.5,7.715,True,"[0, 7, 7, 1, 5]"
203.0,7.765,True,"[0, 7, 7, 6, 5]"
203.5,7.725,True,"[0, 7, 7, 2, 5]"
204.0,7.725,True,"[0, 7, 7, 2, 5]"
204.5,7.925,True,"[0, 7, 9, 2, 5]"
205.0,7.725,True,"[0, 7, 7, 2, 5]"
205.5,7.925,True,"[0, 7, 9, 2, 5]"
206.0,7.725,True,"[0, 7, 7, 2, 5]"
206.5,7.726,True,"[0, 7, 7, 2, 6]"
207.0,7.925,True,"[0, 7, 9, 2, 5]"
207.5,7.925,True,"[0, 7, 9, 2, 5]"
208.0,7.715,True,"[0, 7, 7, 1, 5]"
208.5,7.725,True,"[0, 7, 7, 2, 5]"
209.0,7.975,True,"[0, 7, 9, 7, 5]"
209.5,7.725,True,"[0, 7, 7, 2, 5]"
210.0,7.925,True,"[0, 7, 9, 2, 5]"
210.5,7.925,True,"[0, 7, 9, 2, 5]"
211.0,7.925,True,"[0, 7, 9, 2, 5]"
211.5,7.925,True,"[0, 7, 9, 2, 5]"
212.0,7.925,True,"[0, 7, 9, 2, 5]"
212.5,7.725,True,"[0, 7, 7, 2, 5]"
213.0,7.925,True,"[0, 7, 9, 2, 5]"
213.5,7.925,True,"[0, 7, 9, 2, 5]"
214.0,7.925,True,"[0, 7, 9, 2, 5]"
214.5,7.725,True,"[0, 7, 7, 2, 5]"
215.0,7.975,True,"[0, 7, 9, 7, 5]"
215.5,7.713,True,"[0, 7, 7, 1, 3]"
216.0,7.925,True,"[0, 7, 9, 2, 5]"
216.5,7.725,True,"[0, 7, 7, 2, 5]"
217.0,7.925,True,"[0, 7, 9, 2, 5]"
217.5,7.925,True,"[0, 7, 9, 2, 5]"
218.0,7.945,True,"[0, 7, 9, 4, 5]"
218.5,7.975,True,"[0, 7, 9, 7, 5]"
219.0,7.725,True,"[0, 7, 7, 2, 5]"
219.5,7.925,True,"[0, 7, 9, 2, 5]"
220.0,7.715,True,"[0, 7, 7, 1, 5]"
220.5,7.925,True,"[0, 7, 9, 2, 5]"
221.0,7.715,True,"[0, 7, 7, 1, 5]"
221.5,7.925,True,"[0, 7, 9, 2, 5]"
222.0,7.925,True,"[0, 7, 9, 2, 5]"
222.5,7.715,True,"[0, 7, 7, 1, 5]"
223.0,7.725,True,"[0, 7, 7, 2, 5]"
223.5,7.975,True,"[0, 7, 9, 7, 5]"
224.0,7.745,True,"[0, 7, 7, 4, 5]"
224.5,7.725,True,"[0, 7, 7, 2, 5]"
225.0,7.725,True,"[0, 7, 7, 2, 5]"
225.5,7.925,True,"[0, 7, 9, 2, 5]"
226.0,7.925,True,"[0, 7, 9, 2, 5]"
226.5,7.725,True,"[0, 7, 7, 2, 5]"
227.0,7.975,True,"[0, 7, 9, 7, 5]"
227.5,7.925,True,"[0, 7, 9, 2, 5]"
228.0,7.925,True,"[0, 7, 9, 2, 5]"
228.5,7.715,True,"[0, 7, 7, 1, 5]"
229.0,7.925,True,"[0, 7, 9, 2, 5]"
229.5,7.725,True,"[0, 7, 7, 2, 5]"
230.0,7.775,True,"[0, 7, 7, 7, 5]"
230.5,7.975,True,"[0, 7, 9, 7, 5]"
231.0,7.925,True,"[0, 7, 9, 2, 5]"
231.5,7.925,True,"[0, 7, 9, 2, 5]"
232.0,7.945,True,"[0, 7, 9, 4, 5]"
232.5,7.925,True,"[0, 7, 9, 2, 5]"
233.0,7.945,True,"[0, 7, 9, 4, 5]"
233.5,7.915,True,"[0, 7, 9, 1, 5]"
234.0,7.925,True,"[0, 7, 9, 2, 5]"
234.5,7.975,True,"[0, 7, 9, 7, 5]"
235.0,7.925,True,"[0, 7, 9, 2, 5]"
235.5,7.915,True,"[0, 7, 9, 1, 5]"
236.0,7.945,True,"[0, 7, 9, 4, 5]"
236.5,7.945,True,"[0, 7, 9, 4, 5]"
237.0,7.925,True,"[0, 7, 9, 2, 5]"
237.5,7.975,True,"[0, 7, 9, 7, 5]"
238.0,7.975,True,"[0, 7, 9, 7, 5]"
238.5,7.945,True,"[0, 7, 9, 4, 5]"
239.0,7.976,True,"[0, 7, 9, 7, 6]"
239.5,7.925,True,"[0, 7, 9, 2, 5]"
240.0,7.975,True,"[0, 7, 9, 7, 5]"
240.5,7.925,True,"[0, 7, 9, 2, 5]"
241.0,7.926,True,"[0, 7, 9, 2, 6]"
241.5,7.925,True,"[0, 7, 9, 2, 5]"
242.0,7.915,True,"[0, 7, 9, 1, 5]"
242.5,7.925,True,"[0, 7, 9, 2, 5]"
243.0,7.945,True,"[0, 7, 9, 4, 5]"
243.5,7.975,True,"[0, 7, 9, 7, 5]"
244.0,7.975,True,"[0, 7, 9, 7, 5]"
244.5,7.976,True,"[0, 7, 9, 7, 6]"
245.0,7.725,True,"[0, 7, 7, 2, 5]"
245.5,7.725,True,"[0, 7, 7, 2, 5]"
246.0,7.725,True,"[0, 7, 7, 2, 5]"
246.5,7.725,True,"[0, 7, 7, 2, 5]"
247.0,7.715,True,"[0, 7, 7, 1, 5]"
247.5,7.715,True,"[0, 7, 7, 1, 5]"
248.0,7.775,True,"[0, 7, 7, 7, 5]"
