time_s,current_uA,applied_V,force_V,confident,force_mN
31.8,6161.95,0.8,3.568,True,199.808
31.9,6162.43,0.8,3.568,True,199.808
32.0,6166.72,0.8,3.568,True,199.808
32.1,6168.15,0.8,3.568,True,199.808
32.2,6167.67,0.8,3.568,True,199.808
32.3,6167.67,0.8,3.568,True,199.808
32.4,6168.15,0.8,3.568,True,199.808
32.5,6166.96,0.8,3.568,True,199.808
32.6,6166.24,0.8,3.568,True,199.808
32.7,6165.77,0.8,3.568,True,199.808
32.8,6161.95,0.8,3.588,True,200.928
32.9,6168.15,0.8,3.588,True,200.928
33.0,6163.86,0.8,3.588,True,200.928
33.1,6166.24,0.8,3.588,True,200.928
33.2,6165.77,0.8,3.588,True,200.928
33.3,6171.97,0.8,3.588,True,200.928
33.4,6169.1,0.8,3.588,True,200.928
33.5,6173.87,0.8,3.588,True,200.928
33.6,6172.44,0.8,3.588,True,200.928
33.7,6173.87,0.8,3.588,True,200.928
33.8,6174.35,0.8,3.588,True,200.928
33.9,6175.42,0.8,3.588,True,200.928
34.0,6176.73,0.8,3.588,True,200.928
34.1,6176.73,0.8,3.588,True,200.928
34.2,6177.21,0.8,3.588,True,200.928
34.3,6179.0,0.8,3.588,True,200.928
34.4,6180.07,0.8,3.588,True,200.928
34.5,6181.98,0.8,3.588,True,200.928
34.6,6185.79,0.8,3.588,True,200.928
34.7,6182.93,0.8,3.588,True,200.928
34.8,6187.7,0.8,3.495,True,195.72
34.9,6184.84,0.8,3.495,True,195.72
35.0,6184.84,0.8,3.495,True,195.72
35.1,6178.64,0.8,3.495,True,195.72
35.2,6175.78,0.8,3.495,True,195.72
35.3,6172.44,0.8,3.495,True,195.72
35.4,6175.3,0.8,3.495,True,195.72
35.5,6175.3,0.8,3.495,True,195.72
35.6,6182.46,0.8,3.495,True,195.72
35.7,6183.89,0.8,3.495,True,195.72
35.8,6187.7,0.8,3.495,True,195.72
35.9,6186.75,0.8,3.495,True,195.72
36.0,6181.98,0.8,3.495,True,195.72
36.1,6182.93,0.8,3.495,True,195.72
