time_s,force_V
779.5,7.559
780.0,7.559
780.5,7.559
781.0,7.555
781.5,7.559
782.0,7.558
782.5,7.557
783.0,7.565
783.5,7.559
784.0,7.555
784.5,7.559
785.0,7.558
785.5,7.556
786.0,7.559
786.5,7.558
787.0,7.559
787.5,7.562
788.0,7.56
788.5,7.559
789.0,7.557
789.5,7.628
790.0,7.597
790.5,7.6
791.0,7.598
791.5,7.598
792.0,7.597
792.5,7.597
793.0,7.596500000000001
793.5,7.596
794.0,7.598
794.5,7.599
795.0,7.598
795.5,7.597
796.0,7.597
796.5,7.597
797.0,7.598
797.5,7.597
798.0,7.597
798.5,7.594
799.0,7.595
799.5,7.594
800.0,7.595
800.5,7.595
801.0,7.596
801.5,7.596
802.0,7.597
802.5,7.597
803.0,7.599
803.5,7.594
804.0,7.594
804.5,7.595
805.0,7.593
805.5,7.595
806.0,7.592
806.5,7.593
807.0,7.592
807.5,7.593
808.0,7.593
808.5,7.594
809.0,7.592
809.5,7.594
810.0,7.595000000000001
810.5,7.596
811.0,7.593
811.5,7.594
812.0,7.593
812.5,7.593
813.0,7.592
813.5,7.592
814.0,7.593
814.5,7.595000000000001
815.0,7.597
815.5,7.593
816.0,7.595
816.5,7.592
817.0,7.5922
817.5,7.5924
818.0,7.5926
818.5,7.5927999999999995
819.0,7.593
819.5,7.59
820.0,7.59
820.5,7.591
821.0,7.592
821.5,7.593
822.0,7.593999999999999
822.5,7.595
823.0,7.592
823.5,7.59
824.0,7.594
824.5,7.593500000000001
825.0,7.593
825.5,7.589
826.0,7.59
826.5,7.59
827.0,7.588
827.5,7.588
828.0,7.589
828.5,7.588
829.0,7.589
829.5,7.589
830.0,7.586
830.5,7.589
831.0,7.588
831.5,7.587
832.0,7.59
832.5,7.589
833.0,7.586
833.5,7.59
834.0,7.588
834.5,7.59
835.0,7.592
835.5,7.59
836.0,7.585
836.5,7.586
837.0,7.588
837.5,7.588
838.0,7.588
838.5,7.588
839.0,7.59
839.5,7.589
840.0,7.587
840.5,7.588
841.0,7.59
841.5,7.5895
842.0,7.589
842.5,7.59
843.0,7.59
843.5,7.589
844.0,7.588
844.5,7.585
845.0,7.584
845.5,7.582
846.0,7.582
846.5,7.58
847.0,7.578
847.5,7.578
848.0,7.575
848.5,7.576
849.0,7.575
849.5,7.574
850.0,7.512
850.5,7.512
851.0,7.512
851.5,7.512
852.0,7.539999999999999
852.5,7.568
853.0,7.565
853.5,7.564
854.0,7.565
854.5,7.563
855.0,7.562
855.5,7.562
856.0,7.562
856.5,7.562
857.0,7.562
