time_s,current_uA,applied_V,force_V,confident,force_mN
25.1,4182.59,0.8,3.177,True,177.912
25.2,4184.02,0.8,3.177,True,177.912
25.3,4183.54,0.8,3.177,True,177.912
25.4,4187.84,0.8,3.177,True,177.912
25.5,4188.79,0.8,3.177,True,177.912
25.6,4190.22,0.8,3.177,True,177.912
25.7,4194.04,0.8,3.177,True,177.912
25.8,4193.08,0.8,3.177,True,177.912
25.9,4195.94,0.8,3.177,True,177.912
26.0,4197.37,0.8,3.177,True,177.912
26.1,4194.04,0.8,3.177,True,177.912
26.2,4202.62,0.8,3.177,True,177.912
26.3,4200.23,0.8,3.177,True,177.912
26.4,4202.98,0.8,3.177,True,177.912
26.5,4204.53,0.8,3.177,True,177.912
26.6,4204.53,0.8,3.177,True,177.912
26.7,4209.77,0.8,3.177,True,177.912
26.8,4207.86,0.8,3.177,True,177.912
26.9,4211.68,0.8,3.177,True,177.912
27.0,4214.06,0.8,3.177,True,177.912
27.1,4209.77,0.8,3.177,True,177.912
27.2,4214.54,0.8,3.177,True,177.912
27.3,4218.83,0.8,3.177,True,177.912
27.4,4209.29,0.8,3.177,True,177.912
27.5,4216.92,0.8,3.177,True,177.912
27.6,4230.28,0.8,3.177,True,177.912
27.7,4224.55,0.8,3.177,True,177.912
27.8,4216.92,0.8,3.177,True,177.912
27.9,4226.46,0.8,3.177,True,177.912
28.0,4223.6,0.8,3.177,True,177.912
28.1,4219.31,0.8,3.177,True,177.912
28.2,4231.71,0.8,3.177,True,177.912
28.3,4227.41,0.8,3.177,True,177.912
28.4,4223.6,0.8,3.177,True,177.912
28.5,4234.57,0.8,3.177,True,177.912
28.6,4230.75,0.8,3.177,True,177.912
28.7,4232.66,0.8,3.177,True,177.912
28.8,4233.14,0.8,3.177,True,177.912
28.9,4233.61,0.8,3.177,True,177.912
29.0,4235.52,0.8,3.177,True,177.912
29.1,4239.81,0.8,3.177,True,177.912
29.2,4240.77,0.8,3.177,True,177.912
29.3,4240.29,0.8,3.177,True,177.912
29.4,4242.32,0.8,3.177,True,177.912
29.5,4243.63,0.8,3.177,True,177.912
29.6,4244.58,0.8,3.177,True,177.912
29.7,4247.92,0.8,3.177,True,177.912
29.8,4247.92,0.8,3.177,True,177.912
29.9,4250.06,0.8,3.177,True,177.912
30.0,4252.21,0.8,3.177,True,177.912
30.1,4252.21,0.8,3.177,True,177.912
30.2,4248.4,0.8,3.177,True,177.912
30.3,4253.16,0.8,3.177,True,177.912
30.4,4257.46,0.8,3.177,True,177.912
30.5,4254.12,0.8,3.177,True,177.912
30.6,4259.36,0.8,3.177,True,177.912
30.7,4263.18,0.8,3.177,True,177.912
30.8,4255.55,0.8,3.187,True,178.47199999999998
30.9,4265.56,0.8,3.187,True,178.47199999999998
31.0,4263.65,0.8,3.187,True,178.47199999999998
31.1,4263.65,0.8,3.187,True,178.47199999999998
31.2,4265.92,0.8,3.187,True,178.47199999999998
31.3,4268.9,0.8,3.187,True,178.47199999999998
31.4,4267.47,0.8,3.187,True,178.47199999999998
31.5,4268.66,0.8,3.187,True,178.47199999999998
31.6,4268.9,0.8,3.187,True,178.47199999999998
31.7,4269.38,0.8,3.187,True,178.47199999999998
31.8,4273.67,0.8,3.177,True,177.912
31.9,4279.39,0.8,3.177,True,177.912
32.0,4274.14,0.8,3.177,True,177.912
32.1,4278.91,0.8,3.177,True,177.912
32.2,4280.82,0.8,3.177,True,177.912
32.3,4281.3,0.8,3.177,True,177.912
32.4,4280.82,0.8,3.177,True,177.912
32.5,4282.73,0.8,3.177,True,177.912
32.6,4285.11,0.8,3.177,True,177.912
32.7,4283.2,0.8,3.177,True,177.912
32.8,4284.99,0.8,3.187,True,178.47199999999998
32.9,4285.59,0.8,3.187,True,178.47199999999998
33.0,4286.06,0.8,3.187,True,178.47199999999998
33.1,4286.78,0.8,3.187,True,178.47199999999998
33.2,4287.02,0.8,3.187,True,178.47199999999998
33.3,4288.45,0.8,3.177,True,177.912
33.4,4292.26,0.8,3.177,True,177.912
33.5,4295.13,0.8,3.177,True,177.912
33.6,4295.13,0.8,3.177,True,177.912
33.7,4293.69,0.8,3.177,True,177.912
33.8,4295.6,0.8,3.177,True,177.912
33.9,4297.03,0.8,3.177,True,177.912
34.0,4296.56,0.8,3.177,True,177.912
34.1,4299.54,0.8,3.177,True,177.912
34.2,4304.19,0.8,3.177,True,177.912
34.3,4300.37,0.8,3.177,True,177.912
34.4,4306.57,0.8,3.177,True,177.912
34.5,4308.95,0.8,3.177,True,177.912
34.6,4307.05,0.8,3.177,True,177.912
34.7,4306.09,0.8,3.177,True,177.912
34.8,4308.24,0.8,3.177,True,177.912
34.9,4309.43,0.8,3.177,True,177.912
35.0,4310.38,0.8,3.177,True,177.912
35.1,4316.11,0.8,3.177,True,177.912
35.2,4309.91,0.8,3.177,True,177.912
35.3,4313.24,0.8,3.187,True,178.47199999999998
35.4,4315.63,0.8,3.187,True,178.47199999999998
35.5,4311.81,0.8,3.187,True,178.47199999999998
35.6,4318.01,0.8,3.187,True,178.47199999999998
35.7,4319.44,0.8,3.187,True,178.47199999999998
35.8,4318.49,0.8,3.187,True,178.47199999999998
35.9,4322.78,0.8,3.187,True,178.47199999999998
36.0,4322.3,0.8,3.187,True,178.47199999999998
36.1,4323.26,0.8,3.187,True,178.47199999999998
36.2,4328.5,0.8,3.187,True,178.47199999999998
36.3,4323.74,0.8,3.187,True,178.47199999999998
36.4,4328.03,0.8,3.187,True,178.47199999999998
36.5,4333.27,0.8,3.187,True,178.47199999999998
36.6,4328.5,0.8,3.187,True,178.47199999999998
36.7,4331.84,0.8,3.187,True,178.47199999999998
36.8,4336.13,0.8,3.187,True,178.47199999999998
36.9,4329.93,0.8,3.187,True,178.47199999999998
37.0,4333.75,0.8,3.187,True,178.47199999999998
37.1,4335.18,0.8,3.187,True,178.47199999999998
37.2,4332.79,0.8,3.187,True,178.47199999999998
37.3,4333.27,0.8,3.177,True,177.912
37.4,4336.01,0.8,3.177,True,177.912
37.5,4338.04,0.8,3.177,True,177.912
37.6,4339.95,0.8,3.177,True,177.912
37.7,4346.15,0.8,3.177,True,177.912
37.8,4344.24,0.8,3.177,True,177.912
37.9,4345.31,0.8,3.177,True,177.912
38.0,4345.19,0.8,3.177,True,177.912
38.1,4345.67,0.8,3.177,True,177.912
38.2,4345.19,0.8,3.177,True,177.912
38.3,4347.46,0.8,3.187,True,178.47199999999998
38.4,4349.01,0.8,3.187,True,178.47199999999998
38.5,4349.96,0.8,3.187,True,178.47199999999998
38.6,4355.21,0.8,3.187,True,178.47199999999998
38.7,4353.78,0.8,3.187,True,178.47199999999998
38.8,4350.44,0.8,3.187,True,178.47199999999998
38.9,4354.25,0.8,3.187,True,178.47199999999998
39.0,4351.39,0.8,3.187,True,178.47199999999998
39.1,4358.07,0.8,3.187,True,178.47199999999998
39.2,4359.02,0.8,3.187,True,178.47199999999998
39.3,4358.54,0.8,3.187,True,178.47199999999998
39.4,4360.57,0.8,3.187,True,178.47199999999998
39.5,4363.31,0.8,3.187,True,178.47199999999998
39.6,4361.41,0.8,3.187,True,178.47199999999998
39.7,4361.64,0.8,3.187,True,178.47199999999998
39.8,4361.41,0.8,3.187,True,178.47199999999998
39.9,4360.45,0.8,3.187,True,178.47199999999998
40.0,4362.72,0.8,3.187,True,178.47199999999998
40.1,4366.17,0.8,3.187,True,178.47199999999998
40.2,4362.84,0.8,3.187,True,178.47199999999998
40.3,4373.33,0.8,3.187,True,178.47199999999998
40.4,4372.37,0.8,3.187,True,178.47199999999998
40.5,4366.65,0.8,3.187,True,178.47199999999998
40.6,4376.19,0.8,3.187,True,178.47199999999998
40.7,4370.94,0.8,3.187,True,178.47199999999998
40.8,4370.47,0.8,3.187,True,178.47199999999998
40.9,4374.28,0.8,3.187,True,178.47199999999998
41.0,4378.1,0.8,3.187,True,178.47199999999998
41.1,4377.62,0.8,3.187,True,178.47199999999998
41.2,4379.53,0.8,3.187,True,178.47199999999998
41.3,4376.67,0.8,3.187,True,178.47199999999998
41.4,4378.58,0.8,3.187,True,178.47199999999998
41.5,4381.44,0.8,3.187,True,178.47199999999998
