time_s,current_uA,applied_V,force_V_raw,force_V,force_mN,stress_MPa
492.3,3870.43,0.8,9.813,1.9638000000000002,111.83841000000002,0.1369310192837466
492.4,3870.14,0.8,9.813,1.9638000000000002,111.83841000000002,0.1369310192837466
492.5,3868.86,0.8,9.813,1.9638000000000002,111.83841000000002,0.1369310192837466
492.6,3867.47,0.8,9.813,1.9638000000000002,111.83841000000002,0.1369310192837466
492.7,3867.76,0.8,9.813,1.9638000000000002,111.83841000000002,0.1369310192837466
492.8,3869.14,0.8,9.82,1.964,111.8498,0.13694496479951027
492.9,3869.48,0.8,9.82,1.964,111.8498,0.13694496479951027
493.0,3870.1,0.8,9.82,1.964,111.8498,0.13694496479951027
493.1,3869.33,0.8,9.82,1.964,111.8498,0.13694496479951027
493.2,3868.81,0.8,9.82,1.964,111.8498,0.13694496479951027
493.3,3868.95,0.8,9.813,1.964,111.8498,0.13694496479951027
493.4,3869.74,0.8,9.813,1.964,111.8498,0.13694496479951027
493.5,3870.38,0.8,9.813,1.964,111.8498,0.13694496479951027
493.6,3870.81,0.8,9.813,1.964,111.8498,0.13694496479951027
493.7,3870.05,0.8,9.813,1.964,111.8498,0.13694496479951027
493.8,3869.14,0.8,9.82,1.964,111.8498,0.13694496479951027
493.9,3871.29,0.8,9.82,1.964,111.8498,0.13694496479951027
494.0,3872.77,0.8,9.82,1.964,111.8498,0.13694496479951027
494.1,3874.53,0.8,9.82,1.964,111.8498,0.13694496479951027
494.2,3875.68,0.8,9.82,1.964,111.8498,0.13694496479951027
494.3,3874.53,0.8,9.813,1.964,111.8498,0.13694496479951027
494.4,3874.82,0.8,9.813,1.964,111.8498,0.13694496479951027
494.5,3872.86,0.8,9.813,1.964,111.8498,0.13694496479951027
494.6,3874.01,0.8,9.813,1.964,111.8498,0.13694496479951027
494.7,3875.63,0.8,9.813,1.964,111.8498,0.13694496479951027
494.8,3874.63,0.8,9.813,1.964,111.8498,0.13694496479951027
494.9,3876.15,0.8,9.813,1.964,111.8498,0.13694496479951027
495.0,3873.1,0.8,9.813,1.964,111.8498,0.13694496479951027
495.1,3875.06,0.8,9.813,1.964,111.8498,0.13694496479951027
495.2,3875.91,0.8,9.813,1.964,111.8498,0.13694496479951027
495.3,3876.92,0.8,9.813,1.964,111.8498,0.13694496479951027
495.4,3876.3,0.8,9.813,1.964,111.8498,0.13694496479951027
495.5,3874.96,0.8,9.813,1.964,111.8498,0.13694496479951027
495.6,3876.44,0.8,9.813,1.964,111.8498,0.13694496479951027
495.7,3878.06,0.8,9.813,1.964,111.8498,0.13694496479951027
495.8,3878.35,0.8,9.822,1.964,111.8498,0.13694496479951027
495.9,3880.64,0.8,9.822,1.964,111.8498,0.13694496479951027
496.0,3878.49,0.8,9.822,1.964,111.8498,0.13694496479951027
496.1,3880.78,0.8,9.822,1.964,111.8498,0.13694496479951027
496.2,3879.63,0.8,9.822,1.964,111.8498,0.13694496479951027
496.3,3880.59,0.8,9.822,1.9642,111.86119000000001,0.13695891031527396
496.4,3879.59,0.8,9.822,1.9642,111.86119000000001,0.13695891031527396
496.5,3880.06,0.8,9.822,1.9642,111.86119000000001,0.13695891031527396
496.6,3879.2,0.8,9.822,1.9642,111.86119000000001,0.13695891031527396
496.7,3880.49,0.8,9.822,1.9642,111.86119000000001,0.13695891031527396
496.8,3881.83,0.8,9.82,1.9644,111.87258,0.13697285583103766
496.9,3879.01,0.8,9.82,1.9644,111.87258,0.13697285583103766
497.0,3880.49,0.8,9.82,1.9644,111.87258,0.13697285583103766
497.1,3881.11,0.8,9.82,1.9644,111.87258,0.13697285583103766
497.2,3880.44,0.8,9.82,1.9644,111.87258,0.13697285583103766
497.3,3882.69,0.8,9.82,1.9642,111.86119000000001,0.13695891031527396
497.4,3883.83,0.8,9.82,1.9642,111.86119000000001,0.13695891031527396
497.5,3882.45,0.8,9.82,1.9642,111.86119000000001,0.13695891031527396
497.6,3882.59,0.8,9.82,1.9642,111.86119000000001,0.13695891031527396
497.7,3882.54,0.8,9.82,1.9642,111.86119000000001,0.13695891031527396
497.8,3882.97,0.8,9.821,1.9642,111.86119000000001,0.13695891031527396
497.9,3883.4,0.8,9.821,1.9642,111.86119000000001,0.13695891031527396
498.0,3884.93,0.8,9.821,1.9642,111.86119000000001,0.13695891031527396
498.1,3883.93,0.8,9.821,1.9642,111.86119000000001,0.13695891031527396
498.2,3884.45,0.8,9.821,1.9642,111.86119000000001,0.13695891031527396
498.3,3885.12,0.8,9.824,1.9644,111.87258,0.13697285583103766
498.4,3886.17,0.8,9.824,1.9644,111.87258,0.13697285583103766
498.5,3886.83,0.8,9.824,1.9644,111.87258,0.13697285583103766
498.6,3887.22,0.8,9.824,1.9644,111.87258,0.13697285583103766
498.7,3887.9,0.8,9.824,1.9644,111.87258,0.13697285583103766
498.8,3888.46,0.8,9.822,1.9644,111.87258,0.13697285583103766
498.9,3889.08,0.8,9.822,1.9644,111.87258,0.13697285583103766
499.0,3890.03,0.8,9.822,1.9644,111.87258,0.13697285583103766
499.1,3890.45,0.8,9.822,1.9644,111.87258,0.13697285583103766
499.2,3891.46,0.8,9.822,1.9644,111.87258,0.13697285583103766
499.3,3891.22,0.8,9.822,1.9644,111.87258,0.13697285583103766
499.4,3889.5,0.8,9.822,1.9644,111.87258,0.13697285583103766
499.5,3889.36,0.8,9.822,1.9644,111.87258,0.13697285583103766
499.6,3888.74,0.8,9.822,1.9644,111.87258,0.13697285583103766
499.7,3890.98,0.8,9.822,1.9644,111.87258,0.13697285583103766
499.8,3892.41,0.8,9.822,1.9644,111.87258,0.13697285583103766
499.9,3892.89,0.8,9.822,1.9644,111.87258,0.13697285583103766
500.0,3891.55,0.8,9.822,1.9644,111.87258,0.13697285583103766
500.1,3891.94,0.8,9.822,1.9644,111.87258,0.13697285583103766
500.2,3889.65,0.8,9.822,1.9644,111.87258,0.13697285583103766
500.3,3889.98,0.8,9.824,1.9644,111.87258,0.13697285583103766
500.4,3890.74,0.8,9.824,1.9644,111.87258,0.13697285583103766
500.5,3890.51,0.8,9.824,1.9644,111.87258,0.13697285583103766
500.6,3890.93,0.8,9.824,1.9644,111.87258,0.13697285583103766
500.7,3891.55,0.8,9.824,1.9644,111.87258,0.13697285583103766
500.8,3890.94,0.8,9.823,1.9644,111.87258,0.13697285583103766
500.9,3891.89,0.8,9.823,1.9644,111.87258,0.13697285583103766
501.0,3892.75,0.8,9.823,1.9644,111.87258,0.13697285583103766
501.1,3891.7,0.8,9.823,1.9644,111.87258,0.13697285583103766
501.2,3892.37,0.8,9.823,1.9644,111.87258,0.13697285583103766
