frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
288,11.52,1782.477,496.265,0.9954,1.8392,-1.5056,-1.0564
289,11.56,1786.221,500.618,0.9954,1.7169,-1.4231,-0.9605
290,11.6,1791.106,505.774,0.9942,1.5645,-1.3155,-0.8469
291,11.64,1799.008,515.977,0.9866,1.3000,-1.1414,-0.6222
292,11.68,1813.832,532.231,0.9720,0.8566,-0.8149,-0.2641
293,11.72,1827.663,545.168,0.9905,0.5107,-0.5102,0.0208
294,11.76,1835.278,549.427,0.9965,0.3612,-0.3425,0.1146
295,11.8,1838.434,551.410,0.9953,0.3156,-0.2730,0.1583
296,11.84,1844.692,556.602,0.9935,0.3043,-0.1351,0.2727
297,11.88,1853.695,563.918,0.9923,0.4384,0.0632,0.4338
298,11.92,1860.515,569.380,0.9922,0.5938,0.2134,0.5541
299,11.96,1862.722,572.082,0.9906,0.6673,0.2620,0.6137
300,12.0,1863.584,572.409,0.9907,0.6815,0.2810,0.6209
301,12.04,1866.422,574.677,0.9896,0.7537,0.3435,0.6708
302,12.08,1870.498,579.319,0.9872,0.8862,0.4333,0.7731
303,12.12,1872.912,581.694,0.9901,0.9581,0.4865,0.8254
304,12.16,1872.918,581.452,0.9902,0.9535,0.4866,0.8200
305,12.2,1873.163,581.420,0.9903,0.9557,0.4920,0.8193
306,12.24,1874.402,582.923,0.9895,0.9982,0.5193,0.8524
307,12.28,1875.341,583.896,0.9901,1.0273,0.5400,0.8739
308,12.32,1875.240,583.571,0.9906,1.0200,0.5377,0.8667
309,12.36,1875.199,583.614,0.9906,1.0203,0.5368,0.8677
310,12.4,1876.026,584.424,0.9913,1.0451,0.5551,0.8855
311,12.44,1876.914,584.901,0.9902,1.0644,0.5746,0.8960
312,12.48,1876.896,585.316,0.9910,1.0719,0.5742,0.9052
313,12.52,1876.688,585.251,0.9910,1.0683,0.5696,0.9037
314,12.56,1877.327,585.534,0.9910,1.0811,0.5837,0.9100
315,12.6,1877.650,585.666,0.9903,1.0874,0.5908,0.9129
316,12.64,1877.557,585.688,0.9901,1.0867,0.5888,0.9134
317,12.68,1877.616,585.319,0.9907,1.0806,0.5901,0.9052
318,12.72,1877.863,585.687,0.9914,1.0903,0.5955,0.9133
319,12.76,1877.665,586.225,0.9907,1.0979,0.5912,0.9252
320,12.8,1877.607,585.481,0.9901,1.0835,0.5899,0.9088
321,12.84,1877.625,585.515,0.9905,1.0843,0.5903,0.9095
322,12.88,1877.717,586.193,0.9904,1.0980,0.5923,0.9245
323,12.92,1877.770,586.040,0.9905,1.0958,0.5935,0.9211
324,12.96,1877.317,585.564,0.9905,1.0815,0.5835,0.9106
325,13.0,1876.993,584.721,0.9905,1.0620,0.5763,0.8921
326,13.04,1876.245,583.809,0.9902,1.0362,0.5599,0.8720
327,13.08,1875.061,581.980,0.9892,0.9883,0.5338,0.8317
328,13.12,1873.812,580.920,0.9892,0.9538,0.5063,0.8083
329,13.16,1871.789,578.998,0.9878,0.8944,0.4617,0.7660
330,13.2,1867.359,574.612,0.9890,0.7620,0.3642,0.6694
331,13.24,1860.209,568.680,0.9909,0.5770,0.2066,0.5387
332,13.28,1852.152,561.609,0.9928,0.3841,0.0292,0.3830
333,13.32,1842.362,554.230,0.9907,0.2887,-0.1865,0.2204
334,13.36,1831.396,545.994,0.9888,0.4298,-0.4280,0.0390
335,13.4,1818.571,536.372,0.9822,0.7312,-0.7105,-0.1729
336,13.44,1809.583,523.757,0.9899,1.0142,-0.9085,-0.4508
337,13.48,1800.596,513.487,0.9919,1.2971,-1.1064,-0.6770
338,13.52,1793.881,505.825,0.9952,1.5129,-1.2544,-0.8458
339,13.56,1788.374,501.351,0.9951,1.6686,-1.3757,-0.9443
340,13.6,1784.690,496.888,0.9955,1.7915,-1.4568,-1.0426
341,13.64,1780.981,492.628,0.9971,1.9128,-1.5385,-1.1365
342,13.68,1779.360,491.512,0.9963,1.9561,-1.5742,-1.1611
343,13.72,1779.569,492.509,0.9962,1.9394,-1.5696,-1.1391
344,13.76,1780.225,492.713,0.9968,1.9251,-1.5552,-1.1346
345,13.8,1779.578,491.711,0.9956,1.9496,-1.5694,-1.1567
346,13.84,1778.620,491.609,0.9960,1.9680,-1.5905,-1.1589
347,13.88,1778.762,491.737,0.9961,1.9638,-1.5874,-1.1561
348,13.92,1779.066,492.044,0.9959,1.9544,-1.5807,-1.1493
349,13.96,1779.036,492.338,0.9969,1.9511,-1.5814,-1.1429
350,14.0,1778.793,492.249,0.9967,1.9566,-1.5867,-1.1448
351,14.04,1778.979,492.183,0.9966,1.9541,-1.5826,-1.1463
352,14.08,1779.746,492.606,0.9969,1.9350,-1.5657,-1.1370
353,14.12,1779.474,493.247,0.9955,1.9316,-1.5717,-1.1229
354,14.16,1779.503,492.676,0.9957,1.9384,-1.5711,-1.1354
355,14.2,1779.641,492.891,0.9955,1.9332,-1.5680,-1.1307
356,14.24,1780.016,493.768,0.9973,1.9152,-1.5598,-1.1114
357,14.28,1780.137,493.749,0.9971,1.9133,-1.5571,-1.1118
358,14.32,1779.824,493.562,0.9971,1.9213,-1.5640,-1.1159
359,14.36,1780.162,494.367,0.9973,1.9049,-1.5565,-1.0982
360,14.4,1780.653,494.263,0.9967,1.8974,-1.5457,-1.1005
361,14.44,1780.675,494.465,0.9968,1.8945,-1.5452,-1.0960
362,14.48,1780.377,495.087,0.9956,1.8920,-1.5518,-1.0823
363,14.52,1781.133,495.332,0.9973,1.8752,-1.5352,-1.0769
364,14.56,1782.279,496.521,0.9972,1.8395,-1.5099,-1.0507
365,14.6,1783.173,498.286,0.9965,1.8013,-1.4902,-1.0118
366,14.64,1784.694,499.789,0.9955,1.7550,-1.4567,-0.9787
367,14.68,1786.655,501.687,0.9952,1.6958,-1.4135,-0.9369
368,14.72,1788.507,504.209,0.9947,1.6313,-1.3727,-0.8814
369,14.76,1790.592,506.396,0.9952,1.5667,-1.3268,-0.8332
370,14.8,1793.724,510.594,0.9954,1.4597,-1.2578,-0.7407
371,14.84,1800.177,518.044,0.9926,1.2559,-1.1157,-0.5766
372,14.88,1810.197,529.295,0.9846,0.9535,-0.8950,-0.3288
373,14.92,1822.319,542.227,0.9896,0.6295,-0.6279,-0.0440
374,14.96,1830.222,548.338,0.9965,0.4628,-0.4539,0.0906
375,15.0,1833.657,550.092,0.9958,0.3997,-0.3782,0.1293
376,15.04,1838.185,553.876,0.9950,0.3504,-0.2785,0.2126
377,15.08,1845.498,559.933,0.9928,0.3654,-0.1174,0.3460
378,15.12,1853.099,565.733,0.9947,0.4764,0.0500,0.4738
379,15.16,1857.853,569.650,0.9936,0.5811,0.1548,0.5601
380,15.2,1860.079,571.439,0.9928,0.6332,0.2038,0.5995
381,15.24,1862.074,573.143,0.9912,0.6835,0.2477,0.6370
382,15.28,1864.612,575.095,0.9897,0.7447,0.3037,0.6800
383,15.32,1866.871,577.133,0.9886,0.8065,0.3534,0.7249
384,15.36,1868.746,578.935,0.9867,0.8605,0.3947,0.7646
