frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
319,12.76,1471.437,355.457,0.8997,14.8478,-14.8190,-0.9241
320,12.8,1469.605,355.764,0.8981,14.9608,-14.9334,-0.9050
321,12.84,1470.335,354.549,0.8984,14.9201,-14.8878,-0.9809
322,12.88,1470.700,354.820,0.8997,14.8962,-14.8650,-0.9640
323,12.92,1469.440,355.775,0.8972,14.9711,-14.9438,-0.9043
324,12.96,1468.436,355.665,0.8962,15.0342,-15.0065,-0.9112
325,13.0,1468.752,355.597,0.8950,15.0147,-14.9868,-0.9154
326,13.04,1469.239,356.111,0.8975,14.9824,-14.9563,-0.8833
327,13.08,1468.639,356.128,0.8976,15.0198,-14.9938,-0.8822
328,13.12,1468.147,356.888,0.8952,15.0478,-15.0246,-0.8347
329,13.16,1468.604,357.387,0.8948,15.0175,-14.9960,-0.8035
330,13.2,1468.997,358.289,0.8958,14.9901,-14.9715,-0.7472
331,13.24,1468.972,360.233,0.8962,14.9861,-14.9730,-0.6256
332,13.28,1469.058,363.971,0.8965,14.9728,-14.9677,-0.3920
333,13.32,1469.209,368.767,0.8994,14.9585,-14.9582,-0.0923
334,13.36,1470.403,373.891,0.9022,14.8853,-14.8836,0.2280
335,13.4,1471.555,381.158,0.9029,14.8273,-14.8116,0.6822
336,13.44,1472.787,390.926,0.9008,14.7912,-14.7346,1.2927
337,13.48,1474.983,400.121,0.8983,14.7163,-14.5974,1.8673
338,13.52,1476.624,401.006,0.8983,14.6218,-14.4948,1.9227
339,13.56,1479.121,396.514,0.8965,14.4324,-14.3387,1.6419
340,13.6,1484.848,395.448,0.8949,14.0693,-13.9808,1.5753
341,13.64,1492.232,394.005,0.8976,13.6006,-13.5193,1.4851
342,13.68,1495.911,391.298,0.8987,13.3543,-13.2893,1.3159
343,13.72,1493.039,389.742,0.9008,13.5238,-13.4688,1.2187
344,13.76,1487.636,389.745,0.8980,13.8602,-13.8065,1.2189
345,13.8,1484.651,390.771,0.8984,14.0518,-13.9931,1.2830
346,13.84,1484.652,390.784,0.8969,14.0518,-13.9930,1.2838
347,13.88,1485.900,390.479,0.8937,13.9724,-13.9150,1.2647
348,13.92,1485.861,391.063,0.8965,13.9782,-13.9175,1.3012
349,13.96,1484.650,391.021,0.8974,14.0533,-13.9932,1.2986
350,14.0,1483.375,390.837,0.8990,14.1316,-14.0729,1.2871
351,14.04,1483.180,391.106,0.8980,14.1453,-14.0850,1.3039
352,14.08,1483.494,391.211,0.8988,14.1263,-14.0654,1.3105
353,14.12,1483.213,391.195,0.8974,14.1437,-14.0829,1.3095
354,14.16,1482.628,391.216,0.8998,14.1802,-14.1195,1.3108
355,14.2,1482.105,391.687,0.8991,14.2155,-14.1522,1.3402
356,14.24,1481.864,391.250,0.9015,14.2280,-14.1673,1.3129
357,14.28,1481.415,391.700,0.9009,14.2585,-14.1953,1.3410
358,14.32,1481.106,391.846,0.9001,14.2786,-14.2147,1.3502
359,14.36,1480.544,392.040,0.9023,14.3147,-14.2497,1.3623
