frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
207,8.28,1672.096,642.054,0.9943,0.1224,-0.0455,-0.1137
208,8.32,1671.402,641.223,0.9952,0.1438,-0.0598,-0.1308
209,8.36,1671.336,640.092,0.9949,0.1658,-0.0612,-0.1541
210,8.4,1670.974,639.031,0.9940,0.1889,-0.0686,-0.1760
211,8.44,1670.633,638.813,0.9949,0.1957,-0.0756,-0.1805
212,8.48,1670.362,637.983,0.9944,0.2136,-0.0812,-0.1976
213,8.52,1670.385,637.189,0.9945,0.2286,-0.0807,-0.2139
214,8.56,1670.245,636.951,0.9942,0.2343,-0.0836,-0.2188
215,8.6,1670.395,636.065,0.9940,0.2504,-0.0805,-0.2371
216,8.64,1670.166,635.553,0.9941,0.2619,-0.0853,-0.2476
217,8.68,1669.972,635.228,0.9931,0.2695,-0.0893,-0.2543
218,8.72,1669.999,635.122,0.9927,0.2714,-0.0887,-0.2565
219,8.76,1669.748,634.757,0.9938,0.2802,-0.0939,-0.2640
220,8.8,1669.668,634.174,0.9934,0.2921,-0.0955,-0.2760
221,8.84,1669.351,634.356,0.9937,0.2908,-0.1020,-0.2723
222,8.88,1669.199,634.099,0.9932,0.2968,-0.1052,-0.2776
223,8.92,1669.069,633.965,0.9929,0.3004,-0.1079,-0.2803
224,8.96,1668.902,633.591,0.9931,0.3088,-0.1113,-0.2880
225,9.0,1668.755,633.256,0.9936,0.3163,-0.1143,-0.2950
226,9.04,1668.773,633.407,0.9935,0.3133,-0.1140,-0.2918
227,9.08,1668.553,633.240,0.9935,0.3182,-0.1185,-0.2953
228,9.12,1668.584,632.618,0.9937,0.3299,-0.1178,-0.3081
229,9.16,1668.625,632.614,0.9934,0.3296,-0.1170,-0.3082
230,9.2,1668.599,632.555,0.9935,0.3310,-0.1175,-0.3094
231,9.24,1668.540,632.710,0.9934,0.3284,-0.1188,-0.3062
232,9.28,1668.628,632.584,0.9936,0.3302,-0.1169,-0.3088
233,9.32,1668.575,632.389,0.9939,0.3343,-0.1180,-0.3128
234,9.36,1668.498,632.652,0.9938,0.3299,-0.1196,-0.3074
235,9.4,1668.514,632.547,0.9938,0.3317,-0.1193,-0.3096
236,9.44,1668.505,632.467,0.9939,0.3334,-0.1195,-0.3112
237,9.48,1668.477,632.576,0.9939,0.3315,-0.1201,-0.3090
238,9.52,1668.434,632.596,0.9940,0.3314,-0.1209,-0.3086
239,9.56,1668.525,632.549,0.9939,0.3316,-0.1191,-0.3095
240,9.6,1668.547,632.497,0.9935,0.3325,-0.1186,-0.3106
241,9.64,1668.584,632.479,0.9937,0.3325,-0.1179,-0.3110
242,9.68,1668.716,632.773,0.9931,0.3259,-0.1151,-0.3049
243,9.72,1668.736,632.601,0.9935,0.3291,-0.1147,-0.3084
244,9.76,1668.777,632.433,0.9935,0.3320,-0.1139,-0.3119
