frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
172,6.88,1660.774,400.766,0.9958,4.7904,-2.7540,-3.9196
173,6.92,1661.246,401.161,0.9962,4.7783,-2.7444,-3.9116
174,6.96,1661.472,401.410,0.9961,4.7715,-2.7398,-3.9065
175,7.0,1661.356,401.050,0.9979,4.7789,-2.7422,-3.9138
176,7.04,1662.162,402.212,0.9951,4.7500,-2.7257,-3.8901
177,7.08,1662.404,403.249,0.9964,4.7298,-2.7208,-3.8690
178,7.12,1661.496,401.364,0.9970,4.7720,-2.7393,-3.9074
179,7.16,1660.484,399.807,0.9981,4.8099,-2.7600,-3.9392
180,7.2,1661.374,401.029,0.9981,4.7790,-2.7418,-3.9143
181,7.24,1662.244,402.363,0.9953,4.7465,-2.7240,-3.8870
182,7.28,1661.986,401.980,0.9953,4.7559,-2.7293,-3.8949
183,7.32,1661.090,400.608,0.9963,4.7894,-2.7476,-3.9229
184,7.36,1661.620,401.372,0.9974,4.7704,-2.7368,-3.9073
185,7.4,1661.442,401.627,0.9976,4.7682,-2.7404,-3.9021
186,7.44,1661.878,401.496,0.9960,4.7653,-2.7315,-3.9047
187,7.48,1661.626,401.752,0.9978,4.7640,-2.7366,-3.8995
188,7.52,1661.948,402.406,0.9958,4.7493,-2.7301,-3.8862
189,7.56,1662.109,401.915,0.9966,4.7556,-2.7268,-3.8962
190,7.6,1662.079,401.951,0.9962,4.7553,-2.7274,-3.8954
191,7.64,1662.078,402.108,0.9955,4.7527,-2.7274,-3.8922
192,7.68,1662.410,402.433,0.9963,4.7434,-2.7206,-3.8856
193,7.72,1663.050,402.922,0.9956,4.7277,-2.7076,-3.8756
194,7.76,1663.168,403.843,0.9966,4.7110,-2.7052,-3.8568
195,7.8,1663.541,404.232,0.9977,4.7001,-2.6976,-3.8489
196,7.84,1663.731,404.860,0.9967,4.6874,-2.6937,-3.8361
197,7.88,1664.224,405.773,0.9970,4.6663,-2.6836,-3.8174
198,7.92,1664.813,407.017,0.9960,4.6387,-2.6716,-3.7921
199,7.96,1665.202,407.507,0.9953,4.6259,-2.6637,-3.7821
200,8.0,1665.623,408.632,0.9956,4.6022,-2.6551,-3.7591
201,8.04,1666.556,410.006,0.9969,4.5683,-2.6360,-3.7311
202,8.08,1667.541,411.664,0.9955,4.5291,-2.6159,-3.6972
203,8.12,1668.853,413.463,0.9943,4.4836,-2.5891,-3.6605
204,8.16,1669.472,414.832,0.9962,4.4535,-2.5765,-3.6326
205,8.2,1670.325,416.720,0.9955,4.4121,-2.5591,-3.5940
206,8.24,1672.153,419.080,0.9924,4.3512,-2.5218,-3.5459
207,8.28,1673.710,422.675,0.9916,4.2730,-2.4900,-3.4725
208,8.32,1675.487,425.660,0.9921,4.2024,-2.4538,-3.4116
209,8.36,1677.243,428.555,0.9920,4.1335,-2.4179,-3.3525
210,8.4,1679.641,432.260,0.9902,4.0435,-2.3690,-3.2769
211,8.44,1682.713,436.231,0.9879,3.9411,-2.3063,-3.1959
212,8.48,1685.484,440.400,0.9897,3.8391,-2.2497,-3.1108
213,8.52,1688.540,445.237,0.9933,3.7225,-2.1874,-3.0121
214,8.56,1691.651,450.731,0.9940,3.5945,-2.1239,-2.8999
215,8.6,1695.450,456.558,0.9938,3.4528,-2.0464,-2.7810
216,8.64,1699.996,463.110,0.9924,3.2901,-1.9536,-2.6473
