frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
162,6.48,1481.553,625.553,0.9559,0.5720,-0.4992,0.2793
163,6.52,1482.118,627.456,0.9754,0.5826,-0.4872,0.3195
164,6.56,1482.734,626.176,0.9798,0.5572,-0.4742,0.2924
165,6.6,1482.794,626.246,0.9800,0.5569,-0.4730,0.2939
166,6.64,1483.139,626.417,0.9798,0.5526,-0.4657,0.2975
167,6.68,1484.691,626.163,0.9808,0.5222,-0.4329,0.2922
168,6.72,1485.510,627.320,0.9834,0.5224,-0.4156,0.3166
169,6.76,1486.898,626.556,0.9806,0.4894,-0.3863,0.3005
170,6.8,1487.948,627.447,0.9810,0.4843,-0.3641,0.3193
171,6.84,1490.274,628.539,0.9846,0.4652,-0.3149,0.3424
172,6.88,1491.366,628.498,0.9867,0.4492,-0.2919,0.3415
173,6.92,1492.212,627.971,0.9828,0.4292,-0.2740,0.3304
174,6.96,1493.666,628.069,0.9847,0.4120,-0.2433,0.3324
175,7.0,1494.651,627.859,0.9855,0.3963,-0.2225,0.3280
176,7.04,1495.934,627.497,0.9862,0.3752,-0.1954,0.3204
177,7.08,1496.980,627.446,0.9863,0.3633,-0.1733,0.3193
178,7.12,1498.481,627.335,0.9916,0.3471,-0.1416,0.3169
179,7.16,1499.924,627.068,0.9865,0.3305,-0.1111,0.3113
180,7.2,1501.348,627.305,0.9912,0.3265,-0.0810,0.3163
181,7.24,1502.959,627.280,0.9891,0.3192,-0.0470,0.3158
182,7.28,1503.936,628.141,0.9882,0.3350,-0.0263,0.3339
183,7.32,1505.361,628.532,0.9932,0.3422,0.0038,0.3422
184,7.36,1505.508,628.890,0.9883,0.3498,0.0069,0.3498
185,7.4,1506.196,628.749,0.9897,0.3475,0.0214,0.3468
186,7.44,1506.692,629.142,0.9899,0.3565,0.0319,0.3551
187,7.48,1506.674,629.228,0.9912,0.3583,0.0315,0.3569
188,7.52,1506.640,628.914,0.9856,0.3516,0.0308,0.3503
189,7.56,1506.904,629.301,0.9889,0.3603,0.0364,0.3585
190,7.6,1507.121,629.346,0.9871,0.3617,0.0410,0.3594
191,7.64,1507.336,629.380,0.9906,0.3630,0.0455,0.3601
192,7.68,1507.267,629.699,0.9908,0.3695,0.0440,0.3669
193,7.72,1506.972,628.145,0.9876,0.3362,0.0378,0.3340
194,7.76,1507.417,628.628,0.9926,0.3475,0.0472,0.3442
195,7.8,1506.918,629.598,0.9871,0.3666,0.0367,0.3647
196,7.84,1507.794,628.391,0.9909,0.3437,0.0552,0.3392
197,7.88,1507.316,629.542,0.9917,0.3663,0.0451,0.3635
198,7.92,1507.477,628.699,0.9922,0.3491,0.0485,0.3457
199,7.96,1507.428,628.572,0.9925,0.3463,0.0474,0.3431
200,8.0,1507.854,629.351,0.9893,0.3639,0.0564,0.3595
201,8.04,1507.303,628.915,0.9880,0.3532,0.0448,0.3503
202,8.08,1507.403,628.709,0.9916,0.3491,0.0469,0.3460
203,8.12,1507.569,629.527,0.9920,0.3667,0.0504,0.3632
204,8.16,1507.691,629.034,0.9871,0.3568,0.0530,0.3528
205,8.2,1507.459,629.113,0.9869,0.3577,0.0481,0.3545
206,8.24,1507.267,629.516,0.9903,0.3657,0.0440,0.3630
207,8.28,1507.322,629.288,0.9892,0.3610,0.0452,0.3582
208,8.32,1507.345,629.421,0.9909,0.3639,0.0457,0.3610
209,8.36,1507.367,629.522,0.9912,0.3661,0.0462,0.3631
210,8.4,1507.641,629.261,0.9909,0.3614,0.0519,0.3576
211,8.44,1507.745,629.427,0.9907,0.3651,0.0541,0.3611
212,8.48,1508.008,629.743,0.9865,0.3726,0.0597,0.3678
213,8.52,1508.000,629.598,0.9866,0.3696,0.0595,0.3647
214,8.56,1508.676,630.288,0.9906,0.3864,0.0738,0.3793
215,8.6,1508.286,630.097,0.9852,0.3810,0.0656,0.3753
216,8.64,1508.386,629.507,0.9924,0.3691,0.0677,0.3628
217,8.68,1508.395,630.728,0.9906,0.3945,0.0679,0.3886
218,8.72,1508.327,630.216,0.9884,0.3836,0.0664,0.3778
219,8.76,1508.456,630.083,0.9868,0.3813,0.0692,0.3750
220,8.8,1507.619,630.817,0.9878,0.3939,0.0515,0.3905
221,8.84,1507.630,629.962,0.9841,0.3760,0.0517,0.3724
222,8.88,1507.516,630.544,0.9913,0.3879,0.0493,0.3847
223,8.92,1507.321,630.592,0.9905,0.3884,0.0452,0.3857
224,8.96,1506.477,629.922,0.9873,0.3726,0.0274,0.3716
225,9.0,1506.029,630.676,0.9871,0.3879,0.0179,0.3875
226,9.04,1504.893,630.186,0.9882,0.3772,-0.0061,0.3772
227,9.08,1503.470,629.349,0.9920,0.3613,-0.0362,0.3595
228,9.12,1502.021,629.874,0.9862,0.3765,-0.0668,0.3706
229,9.16,1500.694,629.510,0.9905,0.3751,-0.0948,0.3629
