time_s,current_uA,voltage_V,confident,force_mN,stress_MPa,stress_smooth_MPa,force_smooth_mN
801.1,2998.72,10.86,True,61.57619999999999,2.798918181818182,2.8004645454545454,61.61022
801.2,2998.72,10.86,True,61.57619999999999,2.798918181818182,2.8004645454545454,61.61022
801.3,2998.72,10.86,True,61.57619999999999,2.798918181818182,2.8004645454545454,61.61022
801.4,2998.72,10.86,True,61.57619999999999,2.798918181818182,2.8004645454545454,61.61022
801.5,2998.72,10.869,True,61.62723,2.801237727272727,2.8004645454545454,61.61022
801.6,2998.72,10.869,False,61.62723,2.801237727272727,2.8004645454545454,61.61022
801.7,2998.72,10.867,True,61.61589000000001,2.800722272727273,2.8004645454545454,61.61022
801.8,2998.72,10.867,True,61.61589000000001,2.800722272727273,2.8004645454545454,61.61022
801.9,2998.72,10.867,True,61.61589000000001,2.800722272727273,2.8004645454545454,61.61022
802.0,2998.72,10.867,True,61.61589000000001,2.800722272727273,2.8004645454545454,61.61022
802.1,2998.72,10.867,True,61.61589000000001,2.800722272727273,2.8004645454545454,61.61022
802.2,2998.72,10.867,True,61.61589000000001,2.800722272727273,2.8004645454545454,61.61022
802.3,2998.72,10.866,True,61.61022,2.8004645454545454,2.7999490909090907,61.59888
802.4,2998.72,10.866,True,61.61022,2.8004645454545454,2.7999490909090907,61.59888
802.5,2998.72,10.857,True,61.559189999999994,2.7981449999999994,2.7999490909090907,61.59888
802.6,2998.72,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
802.7,2998.72,10.867,True,61.61589000000001,2.800722272727273,2.8004645454545454,61.61022
802.8,2998.72,10.867,True,61.61589000000001,2.800722272727273,2.8004645454545454,61.61022
802.9,2998.72,10.864,True,61.59888,2.7999490909090907,2.8004645454545454,61.61022
803.0,2998.72,10.869,True,61.62723,2.801237727272727,2.8004645454545454,61.61022
803.1,2998.72,10.864,True,61.59888,2.7999490909090907,2.800722272727273,61.61589000000001
803.2,2998.72,10.867,True,61.61589000000001,2.800722272727273,2.800722272727273,61.61589000000001
803.3,2998.72,10.867,True,61.61589000000001,2.800722272727273,2.800722272727273,61.61589000000001
803.4,2998.72,10.864,True,61.59888,2.7999490909090907,2.800722272727273,61.61589000000001
803.5,2998.72,10.867,True,61.61589000000001,2.800722272727273,2.800722272727273,61.61589000000001
803.6,2998.72,10.863,True,61.59321,2.7996913636363634,2.8004645454545454,61.61022
803.7,2998.72,10.863,True,61.59321,2.7996913636363634,2.800722272727273,61.61589000000001
803.8,2998.72,10.861,True,61.58187,2.799175909090909,2.800722272727273,61.61589000000001
803.9,2998.72,10.863,True,61.59321,2.7996913636363634,2.800722272727273,61.61589000000001
804.0,2998.72,10.863,True,61.59321,2.7996913636363634,2.800722272727273,61.61589000000001
804.1,2998.72,10.868,True,61.62156,2.80098,2.800722272727273,61.61589000000001
804.2,2998.72,10.86,True,61.57619999999999,2.798918181818182,2.800722272727273,61.61589000000001
804.3,2998.72,10.86,True,61.57619999999999,2.798918181818182,2.800722272727273,61.61589000000001
804.4,2998.72,10.86,True,61.57619999999999,2.798918181818182,2.8004645454545454,61.61022
804.5,2998.72,10.86,True,61.57619999999999,2.798918181818182,2.8004645454545454,61.61022
804.6,2998.72,10.86,True,61.57619999999999,2.798918181818182,2.7999490909090907,61.59888
804.7,2998.72,10.81,True,61.2927,2.786031818181818,2.7999490909090907,61.59888
804.8,2998.72,10.81,True,61.2927,2.786031818181818,2.7999490909090907,61.59888
804.9,2998.72,10.81,True,61.2927,2.786031818181818,2.7999490909090907,61.59888
805.0,2998.72,10.87,True,61.63289999999999,2.801495454545454,2.7999490909090907,61.59888
805.1,2998.72,10.877,True,61.67259,2.8032995454545455,2.7999490909090907,61.59888
805.2,2998.72,10.877,True,61.67259,2.8032995454545455,2.7999490909090907,61.59888
805.3,2998.72,10.877,True,61.67259,2.8032995454545455,2.7999490909090907,61.59888
805.4,2998.72,10.817,True,61.332390000000004,2.787835909090909,2.7999490909090907,61.59888
805.5,2998.72,10.879,True,61.68393,2.8038149999999997,2.7999490909090907,61.59888
805.6,2998.72,10.877,True,61.67259,2.8032995454545455,2.7999490909090907,61.59888
805.7,2998.72,10.89,True,61.746300000000005,2.80665,2.7999490909090907,61.59888
805.8,2998.72,10.88,True,61.689600000000006,2.804072727272727,2.7999490909090907,61.59888
805.9,2998.72,10.81,True,61.2927,2.786031818181818,2.7999490909090907,61.59888
806.0,2998.72,10.89,True,61.746300000000005,2.80665,2.800722272727273,61.61589000000001
806.1,2998.72,10.81,True,61.2927,2.786031818181818,2.80098,61.62156
806.2,2998.72,10.88,True,61.689600000000006,2.804072727272727,2.801495454545454,61.63289999999999
806.3,2998.72,10.88,True,61.689600000000006,2.804072727272727,2.8032995454545455,61.67259
806.4,2998.72,10.88,True,61.689600000000006,2.804072727272727,2.8032995454545455,61.67259
806.5,2998.72,10.817,True,61.332390000000004,2.787835909090909,2.8032995454545455,61.67259
806.6,2998.72,10.817,True,61.332390000000004,2.787835909090909,2.8032995454545455,61.67259
806.7,2998.72,10.817,True,61.332390000000004,2.787835909090909,2.8038149999999997,61.68393
806.8,2998.72,10.884,True,61.71228,2.8051036363636364,2.8038149999999997,61.68393
806.9,2998.72,10.814,True,61.31538,2.787062727272727,2.8038149999999997,61.68393
807.0,2998.72,10.814,True,61.31538,2.787062727272727,2.8038149999999997,61.68393
807.1,2998.72,10.814,True,61.31538,2.787062727272727,2.8038149999999997,61.68393
807.2,2998.72,10.817,True,61.332390000000004,2.787835909090909,2.8038149999999997,61.68393
807.3,2998.72,10.817,True,61.332390000000004,2.787835909090909,2.8038149999999997,61.68393
807.4,2998.72,10.897,True,61.78599,2.8084540909090907,2.8038149999999997,61.68393
807.5,2998.72,10.897,True,61.78599,2.8084540909090907,2.804072727272727,61.689600000000006
807.6,2998.72,10.817,True,61.332390000000004,2.787835909090909,2.804072727272727,61.689600000000006
807.7,2998.72,10.897,True,61.78599,2.8084540909090907,2.804072727272727,61.689600000000006
807.8,2998.72,10.897,True,61.78599,2.8084540909090907,2.804072727272727,61.689600000000006
807.9,2998.72,10.897,True,61.78599,2.8084540909090907,2.804072727272727,61.689600000000006
808.0,2998.72,10.897,True,61.78599,2.8084540909090907,2.804072727272727,61.689600000000006
808.1,2998.72,10.897,True,61.78599,2.8084540909090907,2.804072727272727,61.689600000000006
808.2,2998.72,10.894,True,61.76898,2.8076809090909087,2.804072727272727,61.689600000000006
808.3,2998.72,10.894,True,61.76898,2.8076809090909087,2.804072727272727,61.689600000000006
808.4,2998.72,10.894,True,61.76898,2.8076809090909087,2.804072727272727,61.689600000000006
808.5,2998.72,10.894,True,61.76898,2.8076809090909087,2.804072727272727,61.689600000000006
808.6,2998.72,10.896,True,61.78032,2.808196363636364,2.787835909090909,61.332390000000004
808.7,2998.72,10.897,True,61.78599,2.8084540909090907,2.787835909090909,61.332390000000004
808.8,2998.72,10.897,True,61.78599,2.8084540909090907,2.787835909090909,61.332390000000004
808.9,2998.72,10.896,True,61.78032,2.808196363636364,2.787835909090909,61.332390000000004
809.0,2998.72,10.896,True,61.78032,2.808196363636364,2.787835909090909,61.332390000000004
809.1,2998.72,10.896,True,61.78032,2.808196363636364,2.787835909090909,61.332390000000004
809.2,2998.72,10.896,True,61.78032,2.808196363636364,2.787835909090909,61.332390000000004
809.3,2998.72,10.8,True,61.236000000000004,2.7834545454545454,2.787835909090909,61.332390000000004
809.4,2998.72,10.8,True,61.236000000000004,2.7834545454545454,2.787062727272727,61.31538
