time_s,current_uA,voltage_V
53.9,2998.72,11.196
54.0,2998.72,11.196666666666667
54.1,2998.72,11.197333333333331
54.2,2998.72,11.198
54.3,2998.72,11.199
54.4,2998.72,11.199
54.5,2998.72,11.195
54.6,2998.72,11.191
54.7,2998.72,11.1905
54.8,2998.72,11.19
54.9,2998.72,11.1895
55.0,2998.72,11.189
55.1,2998.72,11.1885
55.2,2998.72,11.188
55.3,2998.72,11.184625
55.4,2998.72,11.18125
55.5,2998.72,11.1645
55.6,2998.72,11.1455
55.7,2998.72,11.1265
55.8,2998.72,11.122
55.9,2998.72,11.130166666666666
56.0,2998.72,11.138333333333334
56.1,2998.72,11.1465
56.2,2998.72,11.148833333333332
56.3,2998.72,11.151166666666668
56.4,2998.72,11.1535
56.5,2998.72,11.155833333333334
56.6,2998.72,11.158166666666666
56.7,2998.72,11.1605
56.8,2998.72,11.17425
56.9,2998.72,11.188
57.0,2998.72,11.188
57.1,2998.72,11.184666666666669
57.2,2998.72,11.181333333333336
57.3,2998.72,11.178
57.4,2998.72,11.18
57.5,2998.72,11.1788
57.6,2998.72,11.1776
57.7,2998.72,11.1764
57.8,2998.72,11.1752
57.9,2998.72,11.174
58.0,2998.72,11.16
58.1,2998.72,11.146
58.2,2998.72,11.132
58.3,2998.72,11.118
58.4,2998.72,11.118
58.5,2998.72,11.123
58.6,2998.72,11.128
58.7,2998.72,11.153
58.8,2998.72,11.162375
58.9,2998.72,11.17175
59.0,2998.72,11.165500000000002
59.1,2998.72,11.15925
59.2,2998.72,11.152277777777778
59.3,2998.72,11.145305555555556
59.4,2998.72,11.146148148148148
59.5,2998.72,11.14699074074074
59.6,2998.72,11.147833333333333
59.7,2998.72,11.142
59.8,2998.72,11.14411111111111
59.9,2998.72,11.146222222222224
60.0,2998.72,11.148333333333332
60.1,2998.72,11.1645
60.2,2998.72,11.16425
60.3,2998.72,11.164
60.4,2998.72,11.147333333333334
60.5,2998.72,11.142916666666668
60.6,2998.72,11.1385
60.7,2998.72,11.142333333333331
60.8,2998.72,11.135833333333334
60.9,2998.72,11.129333333333332
61.0,2998.72,11.127375
61.1,2998.72,11.125416666666666
61.2,2998.72,11.138333333333334
61.3,2998.72,11.152645833333334
61.4,2998.72,11.1559375
61.5,2998.72,11.159229166666666
61.6,2998.72,11.1515
61.7,2998.72,11.1461875
61.8,2998.72,11.140875
61.9,2998.72,11.149
62.0,2998.72,11.1596
62.1,2998.72,11.158
62.2,2998.72,11.1564
62.3,2998.72,11.1426
62.4,2998.72,11.1288
62.5,2998.72,11.115
62.6,2998.72,11.115
62.7,2998.72,11.115
62.8,2998.72,11.114
62.9,2998.72,11.113
63.0,2998.72,11.113
63.1,2998.72,11.114
63.2,2998.72,11.115
63.3,2998.72,11.115
63.4,2998.72,11.119
63.5,2998.72,11.124
63.6,2998.72,11.120666666666668
63.7,2998.72,11.117333333333336
63.8,2998.72,11.114
63.9,2998.72,11.114
64.0,2998.72,11.114
64.1,2998.72,11.114
64.2,2998.72,11.133
64.3,2998.72,11.152
64.4,2998.72,11.156833333333337
64.5,2998.72,11.147583333333332
64.6,2998.72,11.138333333333334
64.7,2998.72,11.126666666666669
64.8,2998.72,11.115
64.9,2998.72,11.11575
65.0,2998.72,11.1165
65.1,2998.72,11.11725
65.2,2998.72,11.118
65.3,2998.72,11.116
65.4,2998.72,11.116
65.5,2998.72,11.116
65.6,2998.72,11.116
65.7,2998.72,11.116
65.8,2998.72,11.116
65.9,2998.72,11.116
66.0,2998.72,11.116
66.1,2998.72,11.116
66.2,2998.72,11.116
66.3,2998.72,11.116
66.4,2998.72,11.116
66.5,2998.72,11.116
66.6,2998.72,11.116
66.7,2998.72,11.116
66.8,2998.72,11.116
66.9,2998.72,11.116
67.0,2998.72,11.129914285714284
67.1,2998.72,11.143828571428571
67.2,2998.72,11.157742857142855
67.3,2998.72,11.171657142857145
67.4,2998.72,11.1724
